mut;scramble;p;1000;m;0.01;c;0.8;tl;240
174286;3822
126689;3771
239872;3819
58659.6;3700
109289;3861
mut;scramble;p;10000;m;0.01;c;0.8;tl;240
213190;3834
1195.2;3846
50539.9;3771
162759;3771
213015;3790
mut;scramble;p;100000;m;0.01;c;0.8;tl;240
16596.3;3771
15734.7;3771
79154.4;3734
17599.2;3771
15690;3771
