mut;inverse;p;1000;m;0.01;c;0.8;tl;360
353336;3332
343100;3330
329830;3322
327281;3349
320567;3308
mut;inverse;p;10000;m;0.01;c;0.8;tl;360
346900;3009
359277;3282
354346;3065
346062;3234
357821;3066
mut;inverse;p;100000;m;0.01;c;0.8;tl;360
359047;2999
355573;3006
355129;2979
357628;2991
359774;2984
